ID_Offre,Titre_Poste,Secteur,Entreprise,Ville,Region,Type_Contrat,Experience_Requise,Niveau_Etudes,Modalite_Travail,Salaire_Mensuel_DH,Langues_Requises,Competences_Cles,Date_Publication,Delai_Recrutement_Jours
OFF-0124,ingenieur reseau,IT & Tech,Peugeot Maroc,marrakech,Marrakech-Safi,cdi,0/2 ans,Bac+5 / Master,Work from home,8500 DH,Français,SQL; Azure; Git,2024-07-28,29
OFF-0125,Data engineer,IT & Tech,Marjane,TANGER,Tanger-Tétouan-Al Hoceïma,CONTRAT CDI,Confirmé,Bac+2,presentiel,15300,Anglais,"Git, JavaScript, REST API",05-20-2024,23
OFF-0126,ML Ingénieur,IT & Tech,Maroc Telecom,RABAT,Rabat-Salé-Kénitra,Cdi,confirmé,Bac+2,presentiel,17000,Français; Arabe,Linux; MongoDB; REST API,2024-09-28,999
OFF-0127,Power BI Developer,IT & Tech,KPMG Maroc,Caza,Casablanca-Settat,C.D.D,Débutant,Bac+5 / Master,présentiel,9000-10800,Français,"Node.js, REST API",2024-10-08,
OFF-0128,UX Designer,IT & Tech,inwi,Fez,Fès-Meknès,CDI,Confirmé,Bac+3,Hybride,10500,Anglais,AWS; TypeScript; Node.js; TensorFlow; React,01-13-2025,41
OFF-0129,Sysadmin,IT & TECH,Orange Maroc,Casablanca,Casablanca-Settat,CDI ,8+ ans,Bac+5 / Master,HYBRIDE,17600,Français; Anglais; Arabe,Agile/Scrum; Java,2024-06-18,23
OFF-0130,Marketer Digital,Commerce,SII Group,RABAT,Rabat-Salé-Kénitra,CONTRAT CDI,senior,Bac+5 / Master,Hybride,11500,Français; Anglais,"Négociation, Salesforce, Analyse de marché, Google Ads",2024-05-13,8
OFF-0131,Guide,Tourisme,Managem,Casa,Casablanca-Settat,Cdi,Débutant,Bac+3,Remote partiel,4600,Français; Anglais; Arabe,,2024-10-27,13
OFF-0132,DevOps,IT & Tech,Alten Maroc,Casa,Casablanca-Settat,cdi,Junior,Bac+2,présentiel,11700,Français,Agile/Scrum; AWS,2024-07-20,13
OFF-0133,Pharmacien d'officine,Santé,Label'Vie,Casa,,CDI,2 à 5 ans,Bac+3,Hybrid,11500 DH,Français; Anglais; Arabe,Soins infirmiers; Éthique médicale; Pharmacologie; Diagnostic,2024-12-05,42
OFF-0134,comptable junior,Finance & RH,Inwi,RABAT,Rabat-Salé-Kénitra,contrat CDI,Senior,Bac+5 / Master,presentiel,8000,Français; Anglais,Paie; SAGE,2025-01-11,20
OFF-0135,Médecin,Santé,PwC Maroc,Marrakesh,Marrakech-Safi,C.D.I,8+ ans,Bac+3,PRÉSENTIEL,29300,,Éthique médicale; Soins infirmiers; Diagnostic,08/06/2024,37
OFF-0136,AUDITEUR,Finance & RH,Label'Vie,Caza,Casablanca-Settat,contrat CDI,0 à 2 ans,Bac+5 / Master,PRÉSENTIEL,7400,Français; Anglais; Arabe,Paie / Droit du travail / SAGE / Consolidation / Audit,2024-07-18,42
OFF-0137,Infirmier,,SQLI Maroc,Casa,Casablanca-Settat,Alt.,2/5 ans,SANS DIPLÔME REQUIS,PRÉSENTIEL,4008 DH,Français,Pharmacologie; Soins infirmiers; Éthique médicale; Diagnostic,2025-02-09,34
OFF-0138,chargé marketing,Commerce,UM6P,TANGER,Tanger-Tétouan-Al Hoceïma,C.D.I,confirmé,Bac+2,TÉLÉTRAVAIL,9700,Français,Email Marketing; SEO,2024-07-09,25
OFF-0139,ing génie civil,BTP,BMCE Bank,TANGER,Tanger-Tétouan-Al Hoceïma,CONTRAT CDI,8ans+,Bac+3,Full remote,15700,Français,Revit; Béton armé,2024-07-18,
OFF-0140,MÉDECIN GÉNÉRALISTE,Santé,ONCF,fès,Fès-Meknès,Alt.,Junior,BAC+5 / MASTER,Hybride,3895,Français,Éthique médicale; Pharmacologie; Soins infirmiers; Diagnostic,2024-05-11,20
OFF-0141,Technicien maintenance,Industrie,Atlantic Digital,TANGER,,CONTRAT CDI,Junior,BAC+3,Hybrid,5700,Français; Anglais; Arabe,AutoCAD; PLC/SCADA; Lean Manufacturing; AMDEC,2024-08-13,29
OFF-0142,chef de projet,IT & Tech,Université Hassan II,casablanca,Casablanca-Settat,CDI ,0/2 ans,Bac+2,Full remote,12800,Anglais,Node.js; Linux; MongoDB; TensorFlow,2024-11-23,22
OFF-0143,ingenieur reseau,IT & Tech,DataVision Maroc,Casablanca-Settat,Casablanca-Settat,Cdi,Junior,Bac+3,En présentiel,9500,Français,TensorFlow; Python,12/08/2024,27
,,,,,,,,,,,,,,
OFF-0145,Développeur FrontEnd,IT & TECH,Attijariwafa Bank,casablanca,Casablanca-Settat,contrat CDD,expert,Bac+3,Full remote,14800,Anglais,React; Agile/Scrum; Docker; REST API; Kubernetes,2024-06-03,32
OFF-0146,chef de chantier,BTP,Total Maroc,Caza,Casablanca-Settat,contrat CDI,2-5ans,Bac+5 / Master,présentiel,9400-11280,Français; Anglais,MS Project; Revit; AutoCAD; Béton armé,2024-11-05,40
OFF-0147,cyber analyst,IT & Tech,HPS,Caza,Casablanca-Settat,alternance,5-8 ans,Bac+5 / Master,PRÉSENTIEL,5813,Français,"JavaScript, TypeScript, AWS, REST API, Node.js",2025-01-13,32
OFF-0148,DATA SCIENTIST,IT & Tech,Maroc Telecom,Casablanca-Settat,Casablanca-Settat,CDD ,0-2 ans,Bac+5 / Master,En présentiel,10000,Français; Anglais; Arabe,"Linux, REST API, Node.js",29/10/2024,8
OFF-0149,SysAdmin,IT & Tech,Accenture Maroc,CASABLANCA,Casablanca-Settat,freelance,2/5 ans,Bac+5 / Master,Remote partiel,,Français; Anglais,Python; Kubernetes,17 April 2024,33
OFF-0150,ml engineer,IT & Tech,Vivo Energy,CASABLANCA,Casablanca-Settat,CDI,5 à 8 ans,Bac+2,hybride,19900 DH,Français,Power BI; React; SQL,,24
OFF-0151,Pharmacien d'officine,Santé,OCP Group,marrakech,,Indépendant,0/2 ans,Sans diplôme requis,hybride,11200,Anglais,,2024-08-06,15
OFF-0152,Financial Analyst,Finance & RH,SQLI MAROC,Casablanca-Settat,Casablanca-Settat,CDI ,expert,Bac+5 / Master,Sur site,18200,Anglais,Droit du travail; Excel avancé; Paie,2025-01-17,45
OFF-0153,Data scientist,IT & Tech,Capgemini Maroc,Marrakch,Marrakech-Safi,C.D.I,5/8 ans,Sans diplôme requis,En présentiel,19000,Français; Arabe,"Kubernetes, TensorFlow, Power BI",2024-09-29,8
OFF-0154,Data scientist,IT & Tech,ATTIJARIWAFA BANK,casablanca,,C.D.I,2-5ans,,Remote,15300,Anglais,"MongoDB, Power BI, Docker, Azure, React",2024-12-24,999
OFF-0155,ing production,,DataVision Maroc,Casablanca,Casablanca-Settat,Alternance,Senior,Bac+3,Work from home,4121-4945,Français; Anglais,SOLIDWORKS; AUTOCAD; ISO 9001; LEAN MANUFACTURING; AMDEC,2025-01-11,36
OFF-0156,Admin Système,IT & TECH,KPMG Maroc,marrakech,Marrakech-Safi,Cdi,5-8 ans,Bac+2,hybride,12k,Français; Arabe,JavaScript; Linux; REST API; Kubernetes; TypeScript,2024-07-22,44
OFF-0157,Réceptionniste hôtel,Tourisme,Deloitte Maroc,Casa,Casablanca-Settat,CDI ,junior,Bac+3,Sur site,3500,"Français, Arabe",Pack Office; Accueil client; Gestion réservations,2024-06-17,11
OFF-0158,tech maintenance,Industrie,CIH Bank,Caza,Casablanca-Settat,Free-lance,0/2 ans,Bac+3,Télétravail,6900,Français; Anglais,AMDEC; ISO 9001; AutoCAD,2024-09-21,21
OFF-0159,COMMUNITY MANAGER,commerce,Ernst & Young Maroc,OUJDA,Oriental,CDI,0/2 ans,Bac+2,sur site,5600,Français; Arabe,"Négociation, Analyse de marché, Salesforce, CRM, Excel",2024-03-05,45
OFF-0159,COMMUNITY MANAGER,commerce,Ernst & Young Maroc,OUJDA,Oriental,CDI,0/2 ans,Bac+2,sur site,5600,Français; Arabe,"Négociation, Analyse de marché, Salesforce, CRM, Excel",2024-03-05,45
OFF-0161,Sysadmin,IT & Tech,Label'Vie,marrakech,Marrakech-Safi,CDI ,0-2 ans,Bac+5 / Master,présentiel,6900,Français; Arabe,SQL; TypeScript,2024-08-23,27 jours
OFF-0162,Developpeur FullStack,IT & Tech,Alten Maroc,Caza,Casablanca-Settat,CDD ,2 à 5 ans,Sans diplôme requis,HYBRIDE,10300 DH,Français,"Agile/Scrum, REST API, React, Azure",2024-05-14,26
OFF-0163,devops engineer,IT & Tech,SII Group,Tanger-Med,Tanger-Tétouan-Al Hoceïma,C.D.D,2-5ans,Bac+5 / Master,Hybrid,15200,Français; Anglais; Arabe,Python; TensorFlow,2024-09-16,26
OFF-0164,DEVELOPPEUR FULL STACK,IT & Tech,Carrefour Maroc,Caza,Casablanca-Settat,Stage de fin d'études,2/5 ans,Bac+3,Work from home,3323,Français,Kubernetes; Java; AWS; MongoDB; Agile/Scrum,2024-08-16,-4
OFF-0165,Data Engneer,IT & TECH,DataVision Maroc,MARRAKECH,Marrakech-Safi,contrat CDI,Senior,Bac+5 / Master,sur site,18600,Français,Kubernetes; Agile/Scrum; REST API; TypeScript,2024-08-09,43
OFF-0166,Technicien maintenance,Industrie,Total Maroc,Tanjah,Tanger-Tétouan-Al Hoceïma,CDI,débutant,Bac+5 / Master,presentiel,5300,,PLC/SCADA / ISO 9001 / AMDEC / Lean Manufacturing / SolidWorks,2024-10-19,33
OFF-0167,Product Owner,IT & Tech,CGI Maroc,CASABLANCA,Casablanca-Settat,CONTRAT CDI,Débutant,Bac+3,présentiel,11k,"Français, Anglais, Arabe",Node.js; TensorFlow; TypeScript; SQL,2024-07-04,7
OFF-0168,ml engineer,IT & Tech,Lafarge Holcim,casablanca,Casablanca-Settat,cdi,senior,Bac+3,presentiel,21800,Français; Anglais; Arabe,Power BI; Docker,2024-04-05,15
OFF-0169,comptable,Finance & RH,Carrefour Maroc,RABAT,,CONTRAT CDI,2-5 ans,Bac+3,Work from home,6000,Français; Arabe,"Paie, SAGE",2024-06-15,25
OFF-0170,Contrôleur gestion,Finance & RH,CIH Bank,Casa,,contrat CDI,2-5 ans,Bac+5 / Master,PRÉSENTIEL,10400,Français; Anglais; Arabe,SAGE; Paie,2024-11-06,44
OFF-0171,data engineeer,IT & Tech,HPS,FÈS,,Free-lance,Débutant,Bac+5 / Master,Hybrid,15300,Français; Anglais; Arabe,JavaScript; SQL; React,2024-03-10,17
OFF-0172,FRONTEND DEVELOPER,IT & Tech,Akdital,rabat,Rabat-Salé-Kénitra,CDD ,junior,Bac+5 / Master,Télétravail,6500,Anglais,Power BI; Docker,2024-10-29,999
OFF-0173,Responsable RH,Finance & RH,TechMa Solutions,Rabat,Rabat-Salé-Kénitra,CDI ,confirmé,Sans diplôme requis,Mixte,8600,Anglais,,2024-07-02,18
,,,,,,,,,,,,,,
OFF-0175,Guide,Tourisme,RAM,Caza,Casablanca-Settat,CDI,Confirmé,Bac+3,En présentiel,5600,Français; Anglais,Pack Office; Accueil client; Langues étrangères; Gestion réservations,2024-07-11,16
OFF-0176,PHARMACIEN,,Alten Maroc,marrakech,Marrakech-Safi,CDI ,2/5 ans,Bac+5 / Master,En présentiel,13800,Anglais,Éthique médicale; Soins infirmiers; Diagnostic; Pharmacologie,2024-07-16,42
OFF-0177,Data Engneer,IT & Tech,Peugeot Maroc,Fez,Fès-Meknès,CDI ,Débutant,Bac+3,PRÉSENTIEL,10600,Anglais,TensorFlow; REST API,2024-05-16,40
OFF-0178,ANALYSTE FINANCIER,Finance & RH,OCP Group,rabat ,Rabat-Salé-Kénitra,CONTRAT CDI,2-5ans,Bac+3,sur site,11200,Français; Anglais; Arabe,SAGE; Consolidation; IFRS,2024-07-28,30
OFF-0179,Ingénieur réseau,IT & TECH,PwC Maroc,Tanger,Tanger-Tétouan-Al Hoceïma,contrat CDI,2-5 ans,Bac+3,hybride,12800,Français; Arabe,AWS; React; Kubernetes; SQL; Azure,2024-12-22,43
OFF-0180,Audit Financier,Finance & RH,atlantic digital,Caza,,Indépendant,Senior,Bac+3,sur site,18400,Français,Paie; Consolidation; Droit du travail,2024-06-26,31
OFF-0180,Audit Financier,Finance & RH,atlantic digital,Caza,,Indépendant,Senior,Bac+3,sur site,18400,Français,Paie; Consolidation; Droit du travail,2024-06-26,31
OFF-0182,receptionniste hotel,Tourisme,Capgemini Maroc,CASABLANCA,Casablanca-Settat,CONTRAT CDI,5 à 8 ans,Bac+3,sur site,5600 DH,Français; Anglais,Langues étrangères; Accueil client,2024-08-22,21
OFF-0183,Administrateur sys,IT & Tech,Lydec,Casablanca,Casablanca-Settat,Indépendant,Junior,Bac+2,presentiel,10700 DH,Français; Arabe,REST API; MONGODB,2024-06-25,
OFF-0184,développeur full-stack,IT & Tech,Atlantic Digital,Casablanca-Settat,,ALTERNANCE,junior,Bac+3,hybride,5912,Français; Anglais,"Azure, AWS, Java, Agile/Scrum",2024-04-26,16
OFF-0185,pharmacien,santé,OCP Group,Casablanca-Settat,,CONTRAT CDI,Confirmé,Bac+5 / Master,presentiel,12900,Français / Anglais,Soins infirmiers; Diagnostic; Éthique médicale; Pharmacologie,2025-01-02,40
OFF-0186,Community manager,Commerce,ONCF,Marrakch,,CDI ,0/2 ans,Bac+5 / Master,Work from home,,Français; Anglais,CRM; Google Ads,2024-04-15,38
OFF-0187,guide touristique,Tourisme,Renault Maroc,Oujda,Oriental,C.D.I,Débutant,Bac+2,teletravail,4100,Français / Arabe,Gestion réservations; Pack Office; Accueil client; Langues étrangères,2024-10-01,35
OFF-0188,analyste financier,Finance & RH,Akdital,rabat ,Rabat-Salé-Kénitra,contrat CDI,Confirmé,,Hybride,11700,"Français, Anglais",SAP; Audit; IFRS,2024-06-27,12
OFF-0189,FRONTEND DEVELOPER,IT & Tech,Inwi,Marrakech,Marrakech-Safi,cdi,confirmé,Bac+3,Sur site,11000,Français,"TypeScript, Node.js, Power BI",09-30-2024,18
OFF-0190,data scientist,IT & Tech,OCP Group,fès,,cdi,Junior,Bac+2,En présentiel,10k,Français; Anglais,SQL; MongoDB; JavaScript,01/01/1900,36
OFF-0191,Réceptionniste,Tourisme,HPS,Casablanca,Casablanca-Settat,C.D.I,2 à 5 ans,Bac+2,Présentiel,4500-5400,Français; Anglais,Langues étrangères; Pack Office; Gestion réservations; Accueil client,2024-03-06,15
OFF-0192,UX Designer,IT & Tech,Maroc Telecom,casablanca,Casablanca-Settat,CDI,débutant,Bac+5 / Master,En présentiel,8300,Français; Anglais,Docker / Linux,04/02/2025,-1
OFF-0193,Data Sientist,IT & Tech,Lafarge Holcim,tanger,Tanger-Tétouan-Al Hoceïma,C.D.I,2-5ans,Bac+5 / Master,HYBRIDE,16000,Français; Arabe,REST API; Docker; TypeScript,2024-12-16,29
OFF-0194,Auditeur,FINANCE & RH,Carrefour Maroc,Caza,Casablanca-Settat,Stage PFE,8+ ans,Bac+3,présentiel,3783,Français; Anglais; Arabe,SAGE / IFRS,2024-03-22,23
OFF-0195,Dév. Full Stack,IT & Tech,ORANGE MAROC,Casablanca,Casablanca-Settat,CDI,5 à 8 ans,Bac+5 / Master,hybride,17k,Français; Anglais; Arabe,TypeScript; AWS; React,2024-04-16,22
OFF-0196,Cybersécurité,IT & Tech,Université Hassan II,Casablanca,Casablanca-Settat,cdi,5 à 8 ans,Sans diplôme requis,Full remote,18600,Français,Docker; Kubernetes; Node.js; REST API; JavaScript,2024-10-12,17
OFF-0197,Project Manager IT,IT & Tech,Ernst & Young Maroc,Casablanca,,ALTERNANCE,5-8 ans,Bac+5 / Master,présentiel,3535-4242,Français; Arabe,"Java, Agile/Scrum, TensorFlow",2024-11-17,34
OFF-0198,Frontend Dev,IT & Tech,sii group,Tanjah,Tanger-Tétouan-Al Hoceïma,CDI ,Junior,Bac+5 / Master,sur site,7700,Français; Anglais; Arabe,TypeScript; Docker; AWS,2025-02-23,34
OFF-0199,Resp. Qualité,Industrie,Attijariwafa Bank,Casablanca-Settat,,Cdi,2/5 ans,Bac+2,PRÉSENTIEL,9900,Français; Anglais; Arabe,Lean Manufacturing; SolidWorks,2024-10-24,-3
OFF-0200,Génie Civil,BTP,ONCF,Casa,Casablanca-Settat,CDI ,2 à 5 ans,Bac+5 / Master,Hybrid,11400,Anglais,Revit; MS Project; AutoCAD,2024-10-16,26
OFF-0201,Conducteur travaux,BTP,Akdital,Casablanca,,CDD ,Confirmé,Bac+3,presentiel,7700,Français; Arabe,"Gestion de chantier, Revit, Béton armé, MS Project, AutoCAD",2024-04-02,12
OFF-0202,CDG,Finance & RH,KPMG Maroc,Rabat-Salé,Rabat-Salé-Kénitra,CDI ,0 à 2 ans,Bac+2,En présentiel,7500,Français; Anglais; Arabe,"Audit, SAP, IFRS, Droit du travail",2024-12-31,32
OFF-0203,Paie Manager,Finance & RH,Alten Maroc,RABAT,Rabat-Salé-Kénitra,contrat CDD,8+,Bac+3,TÉLÉTRAVAIL,9600,Français; Anglais,Audit / Paie / IFRS / Droit du travail,2024-05-14,9
OFF-0204,Power BI Developer,IT & TECH,CGI Maroc,agadir,Souss-Massa,contrat CDI,Confirmé,Bac+3,présentiel,11800,Anglais,Power BI; Docker; Agile/Scrum,2024-07-30,39
OFF-0205,INGÉNIEUR PRODUCTION,Industrie,Carrefour Maroc,casablanca,,Stagiaire,5-8ans,Bac+5 / Master,En présentiel,3737,Anglais,AMDEC; PLC/SCADA; Lean Manufacturing,2024-12-23,10
OFF-0206,Chef Projet IT,IT & Tech,DataVision Maroc,rabat ,Rabat-Salé-Kénitra,CONTRAT CDI,2-5ans,Bac+5 / Master,Hybride,14400,Français; Arabe,Azure / MongoDB / AWS / Agile/Scrum / Kubernetes,01/01/1900,44
OFF-0207,ING. RÉSEAU,IT & Tech,OCP Group,CASABLANCA,Casablanca-Settat,CDI ,confirmé,Bac+3,sur site,9800-11760,Français; Anglais,Python / Power BI / Git / Kubernetes,2024-12-28,8
OFF-0208,GESTIONNAIRE PAIE,Finance & RH,Peugeot Maroc,MARRAKECH,Marrakech-Safi,contrat CDI,2 à 5 ans,Bac+5 / Master,Télétravail,8000,Français; Anglais; Arabe,Consolidation; Audit; SAP; IFRS; Excel avancé,2024-11-29,15
OFF-0209,Product Owner,IT & Tech,Akdital,Tanjah,Tanger-Tétouan-Al Hoceïma,C.D.I,Expérimenté,Bac+3,présentiel,18100,Français; Anglais; Arabe,Git / Agile/Scrum / Node.js / React,2024-12-09,39
OFF-0210,pharmacien,Santé,Alten Maroc,rabat ,Rabat-Salé-Kénitra,C.D.I,0/2 ans,Bac+2,Sur site,,,Soins infirmiers; Diagnostic; Éthique médicale,2024-07-10,45
OFF-0211,Ingénieur civil,BTP,Inwi,CASABLANCA,Casablanca-Settat,CDI,Junior,Bac+3,présentiel,7900,Français; Anglais,MS Project; Gestion de chantier; Béton armé,2024-03-03,24
OFF-0212,comptable,Finance & RH,Lafarge Holcim,Casa,Casablanca-Settat,Cdi,2/5 ans,Bac+5 / Master,Remote partiel,6000-7200,Français / Anglais / Arabe,Consolidation / SAGE / Droit du travail / Audit / SAP,11-14-2024,
OFF-0213,ing génie civil,BTP,CGI Maroc,meknes,Fès-Meknès,cdd,2 à 5 ans,Bac+2,teletravail,8400,Français; Anglais; Arabe,BÉTON ARMÉ; GESTION DE CHANTIER; MS PROJECT,2024-06-29,-5
OFF-0214,BACKEND DEVELOPER,IT & Tech,Atlantic Digital,Tetouan,Tanger-Tétouan-Al Hoceïma,Stagiaire,0 à 2 ans,Bac+5 / Master,teletravail,2772,Français; Anglais,React; Python; Azure,01/01/1900,999
OFF-0215,Ingénieur réseau,IT & Tech,Akdital,Marrakech,Marrakech-Safi,cdd,expert,Bac+5 / Master,Remote,14100,,TensorFlow - MongoDB,2024-10-16,43
OFF-0215,Ingénieur réseau,IT & Tech,Akdital,Marrakech,Marrakech-Safi,cdd,expert,Bac+5 / Master,Remote,14100,,TensorFlow - MongoDB,2024-10-16,43
OFF-0217,Cyber Sécurité Analyst,IT & Tech,Vivo Energy,agadir,Souss-Massa,C.D.D,2-5 ans,Bac+5 / Master,Télétravail,13400,Français; Anglais; Arabe,MongoDB / TensorFlow / Python / SQL,02-18-2025,20
OFF-0218,Pharmacien d'officine,Santé,Capgemini Maroc,TANGER,Tanger-Tétouan-Al Hoceïma,Freelance,2/5 ans,Sans diplôme requis,teletravail,14k,Français,Diagnostic; Éthique médicale; Pharmacologie,2024-09-05,39
OFF-0219,data engineeer,IT & Tech,Université Hassan II,Tanger,Tanger-Tétouan-Al Hoceïma,Alt.,2-5 ans,Bac+5 / Master,En présentiel,4425 ,"Français, Anglais",Linux; MongoDB; Agile/Scrum; Java,2024-04-21,7
OFF-0220,Réceptionniste hôtel,Tourisme,DataVision Maroc,CASABLANCA,Casablanca-Settat,CDD ,5 à 8 ans,Bac+5 / Master,hybride,5100 ,Français,Pack Office; Accueil client; Langues étrangères,2024-03-07,45
OFF-0221,DEVOPS ENGINEER,IT & Tech,Akdital,TANGER,Tanger-Tétouan-Al Hoceïma,C.D.I,Expérimenté,Bac+5 / Master,PRÉSENTIEL,21800,Français; Anglais; Arabe,Node.js; React; TensorFlow; MongoDB,28 October 2024,28
OFF-0222,Project Manager IT,IT & Tech,Renault Maroc,casablanca,Casablanca-Settat,CDD ,2-5ans,Sans diplôme requis,Présentiel,13300-15960,Français,Git; React; TensorFlow,2024-06-20,33
OFF-0223,SysAdmin,it & tech,Capgemini Maroc,Tanjah,Tanger-Tétouan-Al Hoceïma,CDI,8+ ans,Bac+5 / Master,Présentiel,17100 DH,,MongoDB; REST API; TensorFlow; JavaScript,2024-11-21,22
OFF-0224,devops,IT & Tech,UM6P,agadir,Souss-Massa,Cdi,débutant,Bac+5 / Master,Remote,12100 DH,Français; Anglais,SQL - Java - Git - Azure,2024-10-20,26
OFF-0225,Resp. Qualité,Industrie,Atlantic Digital,Tanjah,Tanger-Tétouan-Al Hoceïma,CDD ,5/8 ans,,PRÉSENTIEL,11500,Français,Lean Manufacturing; AutoCAD; AMDEC; PLC/SCADA,2024-03-26,15
OFF-0226,CDG,Finance & RH,Orange Maroc,RABAT,Rabat-Salé-Kénitra,cdi,2-5ans,Sans diplôme requis,teletravail,10100-12120,Français; Arabe,"SAGE, Consolidation",,39
OFF-0227,TECHNICIEN MAINTENANCE,,SQLI Maroc,Tanger,Tanger-Tétouan-Al Hoceïma,contrat CDI,2/5 ans,Bac+5 / Master,En présentiel,7300 DH,Français,AMDEC; SolidWorks; ISO 9001; PLC/SCADA; AutoCAD,2025-02-09,23
OFF-0228,DATA ENGINEER,it & tech,Ernst & Young Maroc,Caza,Casablanca-Settat,contrat CDI,Senior,Bac+8 / Doctorat,Hybrid,,Français; Arabe,Node.js; SQL; REST API; Agile/Scrum; React,2024-06-03,45
OFF-0229,dev fullstack,IT & Tech,Lydec,Casa,,contrat CDI,8ans+,BAC+5 / MASTER,sur site,20500,Français; Arabe,"Azure, SQL, MongoDB, Linux",2024-08-31,36
OFF-0230,Administrateur sys,IT & Tech,Lafarge Holcim,Casablanca-Settat,Casablanca-Settat,CDD ,5-8 ans,BAC+5 / MASTER,presentiel,11200,Anglais,SQL; AWS,2024-03-21,9
OFF-0231,Dat Engineer,IT & Tech,TechMa Solutions,rabat ,Rabat-Salé-Kénitra,CDD,Junior,Bac+5 / Master,En présentiel,11700,Français; Anglais,REST API / TypeScript / Java / Node.js,2024-05-16,13
OFF-0232,DevOps,IT & Tech,Renault Maroc,Caza,Casablanca-Settat,C.D.I,2-5ans,Bac+2,présentiel,16400,Français; Anglais,Docker; Linux; AWS; REST API,2024-04-13,16
OFF-0232,DevOps,IT & Tech,Renault Maroc,Caza,Casablanca-Settat,C.D.I,2-5ans,Bac+2,présentiel,16400,Français; Anglais,Docker; Linux; AWS; REST API,2024-04-13,16
OFF-0234,ing génie civil,BTP,HPS,tanger,Tanger-Tétouan-Al Hoceïma,Cdd,5-8ans,Bac+2,présentiel,13400,Français; Anglais,MS Project - Gestion de chantier - Béton armé,2024-07-30,11
OFF-0235,RESPONSABLE COMMERCIAL,Commerce,CGI Maroc,oujda,Oriental,Cdi,Confirmé,Bac+2,Work from home,12400,Français; Anglais,Négociation; Salesforce; Google Ads; Analyse de marché; Email Marketing,2024-09-15,16
OFF-0236,chef de projet,IT & Tech,Alten Maroc,Caza,Casablanca-Settat,CONTRAT CDI,2 à 5 ans,Sans diplôme requis,Mixte,18100,Français; Anglais,"Agile/Scrum, Git",02/04/2024,43
OFF-0237,INGÉNIEUR PRODUCTION,Industrie,UM6P,casablanca,Casablanca-Settat,freelance,2-5 ans,Sans diplôme requis,TÉLÉTRAVAIL,14000,Français; Arabe,AutoCAD; AMDEC; PLC/SCADA; Lean Manufacturing,13/10/2024,22
OFF-0238,Analyste Finance,Finance & RH,Vivo Energy,Casablanca-Settat,Casablanca-Settat,Free-lance,Débutant,Bac+3,Hybrid,11100-13320,Français; Anglais; Arabe,SAGE; Consolidation; Droit du travail; SAP,2024-12-25,8
OFF-0239,ing production,Industrie,Lydec,Caza,Casablanca-Settat,freelancer,Expérimenté,Bac+2,hybride,15500,Français; Anglais; Arabe,ISO 9001; AutoCAD; SolidWorks; PLC/SCADA,2024-06-22,41
OFF-0240,Responsable qualité,Industrie,VIVO ENERGY,rabat ,,cdi,junior,Bac+5 / Master,télétravail,8200,Français,"SolidWorks, AMDEC",2024-11-14,44
OFF-0241,Developpeur FullStack,IT & Tech,Vivo Energy,CASABLANCA,Casablanca-Settat,contrat CDD,senior,Bac+3,sur site,16700,Français; Anglais,AWS / TensorFlow / React,03-07-2024,11
OFF-0242,guide touristique,Tourisme,CIH Bank,Fès,Fès-Meknès,Stage PFE,confirmé,Bac+5 / Master,TÉLÉTRAVAIL,2518,Français; Anglais,"Accueil client, Pack Office, Gestion réservations, Langues étrangères",2024-06-13,44
OFF-0243,chef de projet,IT & Tech,Total Maroc,Casablanca,Casablanca-Settat,contrat CDI,Débutant,Bac+3,présentiel,11900,Anglais,Java; MongoDB,2024-03-14,32
OFF-0244,Analyste Finance,Finance & RH,Vivo Energy,TANGER,Tanger-Tétouan-Al Hoceïma,ALTERNANCE,2-5ans,Bac+5 / Master,En présentiel,4751,Anglais,Audit / Excel avancé / IFRS / Paie / Droit du travail,2024-12-23,15
OFF-0245,Data engineer,IT & Tech,Peugeot Maroc,tanger,Tanger-Tétouan-Al Hoceïma,Stage,Junior,Bac+8 / Doctorat,Hybrid,2k,Français; Anglais; Arabe,Linux; React; Power BI,2024-11-14,39
OFF-0246,ing production,Industrie,OCP Group,Casablanca-Settat,Casablanca-Settat,Cdi,5/8 ans,Bac+5 / Master,PRÉSENTIEL,10900,Français,ISO 9001 / AMDEC,2024-04-21,34
OFF-0247,Dev Backend,IT & Tech,SII Group,agadir,Souss-Massa,contrat CDI,Junior,Bac+5 / Master,teletravail,8300,Anglais,"JavaScript, REST API, Agile/Scrum, Linux",2024-12-12,9
OFF-0248,Data Engneer,IT & Tech,HPS,Rabat,Rabat-Salé-Kénitra,contrat CDI,5/8 ans,Sans diplôme requis,présentiel,20300 ,Français; Arabe,Azure / JavaScript,2024-05-30,24
OFF-0249,Comptable Général,Finance & RH,TechMa Solutions,Fès,Fès-Meknès,contrat CDD,8+ ans,Bac+5 / Master,sur site,10000,Français; Anglais,IFRS; Excel avancé; Audit; SAGE; Droit du travail,2024-08-25,39
OFF-0250,Analyste Finance,Finance & RH,Accenture Maroc,Casa,,CDI ,5 à 8 ans,Bac+5 / Master,teletravail,16300,Français; Arabe,Paie / Audit / IFRS / SAP / Excel avancé,,-2
OFF-0251,Technicien maintenance,INDUSTRIE,Lydec,Caza,,CDD ,0-2 ans,Bac+5 / Master,presentiel,5200,,Lean Manufacturing - SolidWorks - AMDEC,2024-12-23,37
